time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	6.7676e-06	12.171199999999997	0.439441	26.418399999999995
1	6.7676e-06	1.6755e-05	12.171199999999997	0.439441	26.418399999999995
2	1.6755e-05	3.14942e-05	12.171199999999997	0.439385	26.418399999999995
3	3.14942e-05	5.32459e-05	19.80488	7.31821	85.99119999999999
4	5.32459e-05	8.53465e-05	35.04612	20.4751	196.05088
5	8.53465e-05	0.00013272	69.1626	90.0202	367.9933
6	0.00013272	0.000202632	140.10099999999997	240.631	644.4787
7	0.000202632	0.000305806	283.68699999999995	440.102	845.3970000000002
8	0.000305806	0.000458068	351.22700000000003	486.234	759.3446000000001
9	0.000458068	0.000682772	342.06129999999996	439.876	583.826
10	0.000682772	0.00101438	319.5976	396.241	461.29060000000004
11	0.00101438	0.00150377	304.3795	375.837	393.1998000000001
12	0.00150377	0.00222599	304.5335	377.95	353.64419999999996
13	0.00222599	0.00329182	333.9003999999999	400.514	355.8159999999999
14	0.00329182	0.00486475	426.4509999999999	476.704	435.51079999999996
15	0.00486475	0.00718604	564.3224	599.965	614.1479
16	0.00718604	0.0106117	652.3226999999999	674.636	789.3142
17	0.0106117	0.0156673	704.0387999999998	777.428	12598.8224
18	0.0156673	0.0231281	26242.936199999996	96111.3	116728.00000000001
19	0.0231281	inf	85735.4	96111.3	116728.0
