time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.76022e-05	1.79701
1	1.76022e-05	4.23367e-05	1.79701
2	4.23367e-05	7.70935e-05	74.6347
3	7.70935e-05	0.000125934	133.809
4	0.000125934	0.000194563	220.018
5	0.000194563	0.000291001	284.762
6	0.000291001	0.000426515	315.088
7	0.000426515	0.000616939	312.24
8	0.000616939	0.000884521	301.72
9	0.000884521	0.00126053	300.112
10	0.00126053	0.00178889	311.043
11	0.00178889	0.00253133	341.536
12	0.00253133	0.00357462	403.431
13	0.00357462	0.00504063	508.221
14	0.00504063	0.00710066	631.564
15	0.00710066	0.00999541	743.841
16	0.00999541	0.0140631	856.681
17	0.0140631	0.019779	1071.64
18	0.019779	0.0278109	776.525
19	0.0278109	inf	776.525
