The split time is estimated to be around [0.0, 0.0, 0.0] gens (i.e. 0.25,0.5,0.75 quantile)
Initial Chi-Square distance is 8.885782228946993e+275 and final Chi-Square distance is 9.757773061814074e-05
left_boundaries	IM_lambda00	IM_lambda01	IM_lambda11	IM_rCCR	MSMC_lambda00	MSMC_lambda01	MSMC_lambda11	MSMC_rCCR	msmc_N1	msmc_N2	naive_im_N1	naive_im_N2	im_N1	im_N2
0.0	5.349247775144018e-08	0.0	5.308290896229842e-08	0.0	1.3089094999999995e-07	4.2585236e-09	3.8565638000000006e-08	0.050260938807525156	3819973.802619663	12964909.33198097	9347108.62195084	9419227.577658184	18663404.731144987	18807404.904203072
698.4693069306932	2.6645223524663083e-08	2.6643061314985343e-08	2.6643867102455647e-08	0.9999443038506923	1.3089094999999995e-07	4.2585236e-09	3.8565638000000006e-08	0.050260938807525156	3819973.802619663	12964909.33198097	9347108.62195084	9419227.577658184	18694210.54588821	18838448.405623414
1729.2475247524753	1.5973682150336277e-08	1.5973484945289933e-08	1.5973678353219543e-08	0.99998777323166	1.3089094999999995e-07	4.257735799999999e-09	3.8565638000000006e-08	0.05025164085092992	3819973.802619663	12964909.33198097	1.0705962198837007	1.0705891601857636	2.141191672629701	2.1411775532388853
3250.455445544555	2.620908638818355e-07	2.620876274819916e-07	2.620908015735608e-07	0.9999877704776119	1.1617222e-06	1.3299679999999997e-07	3.1580770899999997e-07	0.18002586504663437	430395.49386247416	1583241.9087654382	1.044013520250331	1.044014548378958	2.088026293291324	2.088028349547842
5495.396039603961	6.173704360048347e-148	6.17362806646731e-148	6.1737028913737675e-148	0.9999877611158021	2.01059892e-06	2.3791762e-07	7.801619760000001e-07	0.1705037650061727	248682.11905734037	640892.5522922433	1.0501657662821322	1.0501657701389624	2.1003307809517118	2.10033078866537
8808.425742574258	7.024507149211964e-07	7.024420331902034e-07	7.02450547806862e-07	0.9999877597464621	3.7564505799999994e-06	8.0202181e-07	1.4243989600000001e-06	0.30961015324139296	133104.37322457734	351025.2492742623	1.039695870205157	1.047567041682545	2.0793917403969924	2.0951340833516676
13697.72277227723	2.245374815647232e-08	2.245346969112483e-08	2.2453742796319147e-08	0.9999877176272799	6.57135694e-06	1.9486334e-06	2.38378584e-06	0.4351987339279475	76087.78591168721	209750.38596588024	1.0501864033058488	1.0501742967165426	2.100372806606932	2.10034859342832
20913.168316831685	7.720310280042792e-09	7.720214522802214e-09	7.720308436764297e-09	0.9999877160879277	8.335810780000001e-06	2.8856609e-06	2.9511149599999996e-06	0.5113280562790341	59982.167685432985	169427.4898731834	1.0148025667624923	1.0148121907784213	2.0296051335235124	2.0296243815553705
31561.58415841584	2.2669036580964087e-09	2.2668755408216885e-09	2.2669031168281986e-09	0.999987716000263	7.500322620000003e-06	3.2618758e-06	3.1621019399999996e-06	0.6118450417434886	66663.79905668642	158122.66950508245	1.1761509688918637	1.1761529155732946	2.35230193778305	2.3523058311459115
47276.23762376238	5.606622701325206e-10	5.606553163274065e-10	5.606621362645741e-10	0.9999877165410803	5.596441309999999e-06	3.4039626e-06	3.1453015999999996e-06	0.7787835069150988	89342.48968296607	158967.2672407632	1.0182864205547542	1.0182864445371056	2.0365728411091384	2.0365728890738413
70467.42574257427	8.512554466570861e-31	8.512448866792035e-31	8.51255243385091e-31	0.9999877142129606	4.508508699999999e-06	3.5637446e-06	3.10195745e-06	0.9365377967025057	110901.416248792	161188.54241537064	1.0396501439294044	1.0396501448172062	2.0793002878584312	2.0793002896340345
104692.0792079208	3.796300169890757e-27	3.7962530757777145e-27	3.796299263368188e-27	0.9999877141281671	3.8841388200000004e-06	3.8002259999999995e-06	3.13389062e-06	1.0829894723268643	128728.66371959382	159546.09162460174	1.0396427677821132	1.039642768098857	2.0792855355638484	2.079285536197336
155200.9900990099	7.514075871970248e-35	7.513982712631455e-35	7.514074077681495e-35	0.9999877214168442	3.5639718500000003e-06	4.131708e-06	3.3241796699999996e-06	1.199656537172109	140292.91505206472	150413.0491237858	1.0728130834143323	1.0728130835361178	2.1456261668282752	2.1456261670718457
229739.60396039605	7.514075862830533e-35	7.51398265004322e-35	7.514074068547193e-35	0.9999877143033487	3.65825232e-06	4.6072665e-06	3.85399032e-06	1.2266021535214948	136677.28638247674	129735.66576057201	1.0376700145601925	1.037670015450022	2.075340029120008	2.075340030899667
339741.58415841585	7.514075865580624e-35	7.513982645827761e-35	7.514074071309738e-35	0.9999877133755243	4.552633579999999e-06	5.4219022e-06	4.983962160000001e-06	1.1370728817325333	109826.54132248441	100321.78895997074	1.0396502969210666	1.0396502955342681	2.0793005938417557	2.0793005910681583
502080.198019802	7.514075839042796e-35	7.513982648775448e-35	7.514074044757603e-35	0.9999877173004709	6.162725080000001e-06	6.005540799999999e-06	6.52436972e-06	0.9467164697153518	81132.93932625013	76635.75509329046	1.0396501439303445	1.0396501413762962	2.0793002878603115	2.0793002827522145
741655.4455445545	5.509797621154273e-20	5.509729271933619e-20	5.50979630547205e-20	0.9999877143604395	7.149918269999998e-06	6.517136099999999e-06	7.33414328e-06	0.8999045022699451	69930.86929369895	68174.2885175813	1.0396502975270219	1.0396501448080067	2.0793005950540437	2.0793002896160133
1095217.8217821782	2.1637209157806564e-50	2.1636940715401456e-50	2.163720398995181e-50	0.9999877129019948	0.00024249082727999997	7.6110670999999995e-06	7.792713579999998e-06	0.06081955748146754	2061.933664083131	64162.50191502613	1.0396501445572364	1.0396501447454918	2.0793002891144727	2.0793002894909836
1616990.0990099013	1.0995695412705183e-95	1.0995559039441523e-95	1.0995692787048357e-95	0.9999877169704778	0.0011803466000000003	0.00093087256	0.00045437125025	1.1388785653226212	423.6043887447974	1100.4217360250998	1.0422829055643534	1.0422829198611654	2.084565811128707	2.084565839722331
2387000.0	1.5786364065322291e-162	1.578616825964791e-162	1.5786360295658487e-162	0.9999877159259201	0.0011803465999999999	0.00093087256	0.00090059478	0.8946648559605269	423.6043887447976	555.1886498831361	1.0422829055643534	1.0422829198611654	2.084565811128707	2.084565839722331
