time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.63255e-05	12.7443
1	1.63255e-05	3.9266e-05	12.7443
2	3.9266e-05	7.15019e-05	76.2278
3	7.15019e-05	0.000116799	113.739
4	0.000116799	0.000180451	221.727
5	0.000180451	0.000269895	398.748
6	0.000269895	0.00039558	474.672
7	0.00039558	0.000572192	434.767
8	0.000572192	0.000820366	386.151
9	0.000820366	0.0011691	354.263
10	0.0011691	0.00165914	334.847
11	0.00165914	0.00234773	332.728
12	0.00234773	0.00331535	364.18
13	0.00331535	0.00467503	461.165
14	0.00467503	0.00658565	626.267
15	0.00658565	0.00927044	768.825
16	0.00927044	0.0130431	783.984
17	0.0130431	0.0183444	615.406
18	0.0183444	0.0257938	434.891
19	0.0257938	inf	434.891
