time_index	left_time_boundary	right_time_boundary	lambda
0	0	6.38452e-06	0.466057
1	6.38452e-06	1.58066e-05	0.466057
2	1.58066e-05	2.97115e-05	1.24202
3	2.97115e-05	5.0232e-05	18.9816
4	5.0232e-05	8.05155e-05	50.4197
5	8.05155e-05	0.000125207	124.69
6	0.000125207	0.000191162	301.31
7	0.000191162	0.000288496	516.562
8	0.000288496	0.000432139	557.033
9	0.000432139	0.000644124	484.961
10	0.000644124	0.000956966	423.065
11	0.000956966	0.00141865	394.999
12	0.00141865	0.00209999	392.974
13	0.00209999	0.00310549	407.037
14	0.00310549	0.00458938	459.749
15	0.00458938	0.00677927	576.775
16	0.00677927	0.0100111	688.632
17	0.0100111	0.0147804	789.502
18	0.0147804	0.0218189	101945
19	0.0218189	inf	101945
