time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	8.02534e-06	14.028899999999997	0.370653	1.69052
1	8.02534e-06	1.98689e-05	14.028899999999997	0.370653	1.69052
2	1.98689e-05	3.73474e-05	14.028899999999997	0.370566	1.69052
3	3.73474e-05	6.31416e-05	27.924740000000003	2.31357	27.543045999999997
4	6.31416e-05	0.000101208	50.97409999999999	19.7259	79.03528000000001
5	0.000101208	0.000157385	94.18926000000002	50.6054	149.15599999999998
6	0.000157385	0.00024029	190.55939999999998	121.091	227.3965
7	0.00024029	0.00036264	311.84150000000005	191.193	279.80400000000003
8	0.00036264	0.000543199	344.3254999999999	243.078	299.84159999999997
9	0.000543199	0.000809664	329.6160000000001	264.151	299.823
10	0.000809664	0.00120291	311.005	288.066	301.66040000000004
11	0.00120291	0.00178324	300.46920000000006	318.877	311.10200000000003
12	0.00178324	0.00263968	308.9939	362.029	345.15379999999993
13	0.00263968	0.0039036	368.23330000000004	439.934	427.21059999999994
14	0.0039036	0.00576886	511.56700000000006	554.139	553.4321
15	0.00576886	0.00852155	673.2223999999999	620.333	689.1610000000001
16	0.00852155	0.0125839	789.0200000000001	677.077	788.4272000000001
17	0.0125839	0.018579	887.6336000000001	780.562	930.8997999999998
18	0.018579	0.0274264	60510.951600000015	80850.0	691.8532
19	0.0274264	inf	86046.3	80850.0	620.398
