time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	7.11214e-06	9.27415	0.418334	14.013799999999998
1	7.11214e-06	1.7608e-05	9.27415	0.418334	14.013799999999998
2	1.7608e-05	3.30976e-05	9.27415	0.612128	14.013799999999998
3	3.30976e-05	5.59567e-05	129.156	27.8679	46.977199999999996
4	5.59567e-05	8.96916e-05	183.0088	33.5825	101.14742
5	8.96916e-05	0.000139477	352.064	75.316	162.4642
6	0.000139477	0.000212948	676.0428000000002	197.706	224.58319999999995
7	0.000212948	0.000321375	849.1042	296.512	289.71799999999996
8	0.000321375	0.000481389	730.0012	331.518	312.51649999999995
9	0.000481389	0.000717533	542.4354	336.181	307.1266
10	0.000717533	0.00106603	442.0225999999999	349.064	303.6005
11	0.00106603	0.00158033	383.81769999999995	372.31	308.601
12	0.00158033	0.00233932	350.64000000000004	405.121	328.22880000000004
13	0.00233932	0.00345941	359.03759999999994	449.536	381.1538
14	0.00345941	0.00511242	458.2118000000001	533.893	492.99520000000007
15	0.00511242	0.00755189	647.4736000000001	633.618	648.6518
16	0.00755189	0.011152	797.5784999999998	699.304	749.8499000000002
17	0.011152	0.0164649	23700.936	819.017	814.0813999999999
18	0.0164649	0.0243056	115013.99999999997	91336.2	44738.23999999999
19	0.0243056	inf	115014.0	91336.2	88631.9
