time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.58679e-06	0.39197
1	7.58679e-06	1.87832e-05	0.39197
2	1.87832e-05	3.53065e-05	0.391946
3	3.53065e-05	5.96912e-05	5.09037
4	5.96912e-05	9.56774e-05	31.4197
5	9.56774e-05	0.000148785	71.4968
6	0.000148785	0.00022716	152.632
7	0.00022716	0.000342823	237.569
8	0.000342823	0.000513516	270.581
9	0.000513516	0.000765419	287.279
10	0.000765419	0.00113717	308.395
11	0.00113717	0.00168579	339.132
12	0.00168579	0.00249544	380.647
13	0.00249544	0.00369029	448.545
14	0.00369029	0.00545361	557.701
15	0.00545361	0.00805588	625.731
16	0.00805588	0.0118962	698.375
17	0.0118962	0.0175637	815.127
18	0.0175637	0.0259277	85550.7
19	0.0259277	inf	85550.7
