time_index	left_time_boundary	right_time_boundary	lambda
0	0	6.32772e-06	0.470043
1	6.32772e-06	1.5666e-05	0.470043
2	1.5666e-05	2.94472e-05	2.80294
3	2.94472e-05	4.97851e-05	13.5739
4	4.97851e-05	7.97993e-05	45.5502
5	7.97993e-05	0.000124093	123.127
6	0.000124093	0.000189461	320.15
7	0.000189461	0.00028593	541.934
8	0.00028593	0.000428295	571.358
9	0.000428295	0.000638394	495.541
10	0.000638394	0.000948453	430.604
11	0.000948453	0.00140603	400.441
12	0.00140603	0.00208131	396.73
13	0.00208131	0.00307786	411.947
14	0.00307786	0.00454856	463.497
15	0.00454856	0.00671897	562.63
16	0.00671897	0.009922	658.031
17	0.009922	0.0146489	741.35
18	0.0146489	0.0216249	102916
19	0.0216249	inf	102916
