time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	7.57389e-06	19.2943	0.39261	1.7982699999999998
1	7.57389e-06	1.87512e-05	19.2943	0.39261	1.7982699999999998
2	1.87512e-05	3.52465e-05	19.2943	0.392613	1.7982699999999998
3	3.52465e-05	5.95897e-05	79.85373999999997	5.46578	41.634101
4	5.95897e-05	9.55148e-05	105.06844	29.6646	93.22229999999999
5	9.55148e-05	0.000148532	167.29219999999998	68.0375	161.9304
6	0.000148532	0.000226773	298.5875	154.454	245.89460000000003
7	0.000226773	0.00034224	440.7136	236.231	304.8248
8	0.00034224	0.000512643	449.903	276.623	314.89099999999996
9	0.000512643	0.000764118	398.8065000000001	296.017	306.9685
10	0.000764118	0.00113524	354.5923999999999	311.782	303.6828
11	0.00113524	0.00168293	331.0363	339.5	310.5792
12	0.00168293	0.0024912	334.8358	381.053	334.17440000000005
13	0.0024912	0.00368401	397.61230000000006	448.494	400.739
14	0.00368401	0.00544434	532.3385999999999	558.199	530.0562
15	0.00544434	0.00804219	690.3685	643.786	648.4675
16	0.00804219	0.011876	806.2778000000002	702.611	722.4012
17	0.011876	0.0175339	960.1415	823.476	829.2594
18	0.0175339	0.0258836	4442.384	85687.8	62712.0175
19	0.0258836	inf	4823.69	85687.8	89215.0
