time_index	left_time_boundary	right_time_boundary	lambda
0	0	7.48945e-06	0.397172
1	7.48945e-06	1.85422e-05	0.397172
2	1.85422e-05	3.48535e-05	0.397068
3	3.48535e-05	5.89253e-05	8.53002
4	5.89253e-05	9.44498e-05	21.0587
5	9.44498e-05	0.000146876	78.3844
6	0.000146876	0.000224245	175.704
7	0.000224245	0.000338424	252.33
8	0.000338424	0.000506927	283.373
9	0.000506927	0.000755599	301.064
10	0.000755599	0.00112258	320.911
11	0.00112258	0.00166417	349.069
12	0.00166417	0.00246342	391.327
13	0.00246342	0.00364294	458.511
14	0.00364294	0.00538364	551.336
15	0.00538364	0.00795252	638.305
16	0.00795252	0.0117436	699.738
17	0.0117436	0.0173384	748.796
18	0.0173384	0.025595	984.221
19	0.025595	inf	984.221
