time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.62158e-05	6.18753
1	1.62158e-05	3.90022e-05	6.18753
2	3.90022e-05	7.10214e-05	65.2139
3	7.10214e-05	0.000116015	149.452
4	0.000116015	0.000179239	247.939
5	0.000179239	0.000268081	400.877
6	0.000268081	0.000392922	469.239
7	0.000392922	0.000568347	431.474
8	0.000568347	0.000814854	382.262
9	0.000814854	0.00116124	348.915
10	0.00116124	0.00164799	332.267
11	0.00164799	0.00233196	335.568
12	0.00233196	0.00329307	372.545
13	0.00329307	0.00464362	467.974
14	0.00464362	0.0065414	610.734
15	0.0065414	0.00920814	736.471
16	0.00920814	0.0129554	874.56
17	0.0129554	0.0182211	1049.4
18	0.0182211	0.0256204	647.457
19	0.0256204	inf	647.457
