time_index	left_time_boundary	right_time_boundary	lambda
0	0	1.76994e-05	3.39682
1	1.76994e-05	4.25704e-05	3.39682
2	4.25704e-05	7.7519e-05	66.739
3	7.7519e-05	0.000126629	125.929
4	0.000126629	0.000195637	225.148
5	0.000195637	0.000292607	287.946
6	0.000292607	0.000428869	310.458
7	0.000428869	0.000620344	308.606
8	0.000620344	0.000889403	301.615
9	0.000889403	0.00126748	299.418
10	0.00126748	0.00179876	310.258
11	0.00179876	0.0025453	339.17
12	0.0025453	0.00359434	398.332
13	0.00359434	0.00506845	499.492
14	0.00506845	0.00713985	610.72
15	0.00713985	0.0100506	679.04
16	0.0100506	0.0141407	733.388
17	0.0141407	0.0198881	853.409
18	0.0198881	0.0279644	88481.4
19	0.0279644	inf	88481.4
