time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	7.02457e-06	101.57799999999999	0.423504	0.377713
1	7.02457e-06	1.73912e-05	101.57799999999999	0.423504	0.377713
2	1.73912e-05	3.26901e-05	101.57799999999999	1.66746	0.377713
3	3.26901e-05	5.52677e-05	280.238	17.6354	24.5508565
4	5.52677e-05	8.85872e-05	324.5504000000001	34.172	64.5535
5	8.85872e-05	0.000137759	492.9987999999999	95.6553	120.8706
6	0.000137759	0.000210326	759.0591999999999	225.495	206.18839999999997
7	0.000210326	0.000317418	911.6945000000003	313.404	280.594
8	0.000317418	0.000475461	763.3608999999999	329.272	296.6796
9	0.000475461	0.000708697	550.3234	337.104	291.9363
10	0.000708697	0.0010529	450.3798999999999	357.824	293.4054
11	0.0010529	0.00156087	392.42519999999996	386.554	305.0505
12	0.00156087	0.00231051	362.749	418.811	331.62899999999996
13	0.00231051	0.00341682	374.2963999999999	464.766	390.0601000000001
14	0.00341682	0.00504947	458.0725000000001	535.899	498.23439999999994
15	0.00504947	0.0074589	598.0526000000001	622.021	619.7313999999999
16	0.0074589	0.0110147	717.4032000000002	675.817	667.6822000000001
17	0.0110147	0.0162622	739.9599999999999	628.404	613.4614
18	0.0162622	0.0240063	738.9319999999999	486.779	501.6605
19	0.0240063	inf	738.932	486.779	452.434
